,Day 3,Day 5,Day 10,Day 12,Day 14,Day 18,Day 22,Day 23,Day 26,Day 27,Day 28,Day 30,Day 38,Day 39,Day 40,Day 41,Day 45
tr|G3HRL6|G3HRL6_CRIGR,0,0,0.000332477,0.000337265,0.000195013,0,0.0007634,0.000772965,0.000914323,0.000940933,2.45234E-05,0.00070227,0.001046892,0.000837491,0.000661396,0.000718475,4.43609E-05
tr|G3HRM8|G3HRM8_CRIGR,0.000971333,0.001156623,0.001700089,0.001893557,0.001752858,0.001895647,0.001674764,0.001709247,0.001926805,0.001854173,0.001880708,0.001346842,0.001773486,0.001740844,0.001611899,0.001314616,0.002146964
tr|G3HRM9|G3HRM9_CRIGR,0.000164059,0.00017943,0.000345997,0.000583762,0.000311926,0.000662377,0.000550423,0.000535042,0.000360522,0.000289565,0.00030511,0.000289155,0.000504944,0.000385682,0.00032329,0.00040698,0.000240373
tr|G3HRN0|G3HRN0_CRIGR,8.16558E-05,0,0.001128187,0.000752145,0.000735585,0.000768755,0.00139494,0.001195046,0.003288616,0.000941204,0.002997555,0.000826904,0.001570794,0.004851345,0.001532838,0.000958852,0.000307469
tr|G3HRN7|G3HRN7_CRIGR,0,0,1.70403E-06,8.18647E-07,6.99529E-07,1.46896E-06,1.39272E-06,0,1.43689E-06,5.59163E-07,0,7.08021E-07,0,5.88005E-07,9.27218E-07,8.83734E-07,0
tr|G3HRP2|G3HRP2_CRIGR;tr|G3HJV0|G3HJV0_CRIGR,6.58842E-05,9.02673E-05,0.000147677,0.00011443,0.00015146,5.66086E-05,5.83957E-05,0.000107689,0.000135835,8.00304E-05,0.000125705,9.6326E-05,0.000126115,0.000191955,0.000133746,0.0001501,0.000114267
tr|G3HRP3|G3HRP3_CRIGR,0,0,2.23444E-05,4.19634E-05,2.55381E-05,4.20963E-05,4.15362E-05,1.87021E-05,8.21933E-05,2.27335E-05,2.32024E-05,1.30614E-05,5.08734E-05,0.000227075,4.68512E-05,3.80886E-05,2.90915E-05
tr|G3HRP7|G3HRP7_CRIGR,0,0,0,0,0,0,1.65879E-06,0,0,0,0,0,0,0,0,0,0
tr|G3HRQ3|G3HRQ3_CRIGR,0,2.71395E-06,2.48403E-05,2.22164E-05,2.25219E-05,2.09453E-05,2.41344E-05,4.8818E-05,5.73663E-05,5.76889E-05,5.31955E-05,4.1982E-05,7.11863E-05,3.88891E-05,4.41266E-05,5.76938E-05,3.2471E-05
tr|G3HRQ4|G3HRQ4_CRIGR;tr|G3HJV4|G3HJV4_CRIGR,0.000834056,0.000881884,0.001179398,0.00108886,0.001398052,0.001317111,0.00109935,0.001276404,0.001462278,0.00122781,0.001398788,0.001317368,0.00131818,0.000985028,0.00098626,0.001135124,0.000952716
